task,id,model,retr_recall@k,retr_mrr@k,retr_ndcg@k,rougeL_f,token_f1,eval_count,eval_duration_ms,prompt_eval_count,prompt_eval_duration_ms,total_duration_ms,wall_time_ms,summary_faithfulness_score,output
doc_retrieval_summarization,drs1,phi4-mini:3.8b,0.0,0.0,0.0,0.17142857142857143,0.17142857142857143,88,7673442500,101,4948748900,15498817100,17559,5,"```json
{
  ""ranking"": [""doc_id2"", ""doc_id1"", ""doc_id3""],
  ""summary"": ""To decommission service X, first stop all traffic to the service and drain any existing connections. Next, archive logs for future reference or compliance purposes as indicated in general cleanup notes (d1). Then execute delete scripts specifically designed for Service X removal according to instructions provided by d2.""
}
```"
doc_retrieval_summarization,drs2,phi4-mini:3.8b,0.0,0.0,0.0,0.2631578947368421,0.368421052631579,78,6875893100,110,4266467400,11516261800,13564,5,"```json
{
  ""ranking"": [""doc_id2"", ""doc_id4"", ""doc_id1""],
  ""summary"": ""To rotate API keys for the billing service, first create a new key. Then update your environment variables with this new key and restart any relevant pods to apply changes. Finally, revoke or delete the old key from wherever it was stored.""
}
```"
doc_retrieval_summarization,drs3,phi4-mini:3.8b,0.0,0.0,0.0,0.04545454545454545,0.04545454545454545,36,3060703400,108,4160637800,7556699900,9610,0,"```json
{
  ""ranking"": [],
  ""summary"": ""The provided documents do not contain information about the location of an S3 backup restore runbook.""
}
```"
doc_retrieval_summarization,drs4,phi4-mini:3.8b,0.0,0.0,0.0,0.12698412698412698,0.22222222222222224,82,7336130600,112,4375390100,12029696000,14089,5,"```json
{
  ""ranking"": [""doc_id2"", ""doc_id4"", ""doc_id1""],
  ""summary"": ""For zero downtime in Kubernetes, the RollingUpdate strategy with maxUnavailable=0 and maxSurge=1 ensures no pods are unavailable during updates. Canary deployments can also achieve this by using a separate Deployment for new versions alongside weighted routing to gradually shift traffic.""
}
```"
doc_retrieval_summarization,drs5,phi4-mini:3.8b,0.0,0.0,0.0,0.17475728155339804,0.21359223300970875,118,11538942100,109,4162915700,16167787200,18211,4,"```json
{
  ""ranking"": [""doc_id1"", ""doc_id3"", ""doc_id4""],
  ""summary"": ""To request production database access, first submit a JIRA ticket titled 'Prod DB Access' to your manager with an appropriate justification. Ensure that you follow the naming conventions for branches when creating or updating tickets in GitHub (as referenced by doc id2). Once approved and assigned, remember that any granted permissions will expire after 24 hours; if access is needed beyond this period, a new ticket must be submitted following the same process.""
}
```"
doc_retrieval_summarization,drs6,phi4-mini:3.8b,0.0,0.0,0.0,0.09090909090909091,0.13636363636363638,108,10453217000,108,4301249800,15199643000,17241,5,"```json
{
  ""ranking"": [""doc_id2"", ""doc_id1"", ""doc_id3""],
  ""summary"": ""Under GDPR, when a data deletion request is received (d2), the process involves confirming the identity of the requester to ensure they are authorized. The system then queues up their personal information for scheduled erasure from all systems and databases ('scrub analytics'). After completing these steps, an automated notification will be sent out within 30 days informing them that their data has been successfully deleted.""
}
```"
doc_retrieval_summarization,drs7,phi4-mini:3.8b,0.0,0.0,0.0,0.1818181818181818,0.20779220779220778,91,8695748600,115,4500848700,13622090800,15691,4,"```json
{
  ""ranking"": [""doc_id1"", ""doc_id2"", ""doc_id3""],
  ""summary"": ""To enable the feature flag F_NEW_CHECKOUT for a subset of users, start by rolling out to an initial percentage (e.g., 1%) and closely monitor performance. Gradually expand exposure until reaching your target audience size or desired coverage level while maintaining readiness with kill switches in case issues arise.""
}
```"
doc_retrieval_summarization,drs8,phi4-mini:3.8b,0.0,0.0,0.0,0.17910447761194026,0.23880597014925373,77,7748118200,99,4080490200,12162022800,14213,4,"```json
{
  ""ranking"": [""d1"", ""d2"", ""d3""],
  ""summary"": ""The API follows cursor-based pagination, using a 'next' cursor and stable sorting by id. Runbook details are provided for on-call rotation management but do not pertain to pagination conventions directly. Offset pagination is discouraged due to potential inefficiencies.""
}
```"
doc_retrieval_summarization,drs9,phi4-mini:3.8b,0.0,0.0,0.0,0.20895522388059704,0.32835820895522383,73,6939372500,106,4120716000,11417172900,13479,5,"```json
{
  ""ranking"": [""d1"", ""d4"", ""d3""],
  ""summary"": ""The onboarding checklist for a new backend engineer includes setting up accounts, gaining code access and local development environment setup (including first pull request), shadowing on-call duties. Additionally, understanding the learning path with services overview is crucial.""
}
```"
doc_retrieval_summarization,drs10,phi4-mini:3.8b,0.0,0.0,0.0,0.0,0.0,17,1472614900,105,4761272000,6517393500,8581,0,"```json
{
  ""ranking"": [],
  ""summary"": """"
}
```"
doc_retrieval_summarization,drs11,phi4-mini:3.8b,0.0,0.0,0.0,0.11538461538461538,0.15384615384615385,70,6971084700,97,3940268200,11279666900,13356,5,"```json
{
  ""ranking"": [""doc_id1"", ""doc_id2"", ""doc_id3""],
  ""summary"": ""For naming Git branches for hotfixes, use the 'hotfix/' prefix followed by a ticket ID. This convention helps in identifying and prioritizing urgent fixes that need to be deployed immediately.""
}
```"
doc_retrieval_summarization,drs12,phi4-mini:3.8b,0.0,0.0,0.0,0.14545454545454545,0.1818181818181818,67,7543244300,109,5204847500,13160887300,15191,2,"```json
{
  ""ranking"": [""d1"", ""d2"", ""d3""],
  ""summary"": ""Sev-1 incidents are managed by the primary incident commander who must notify executives within a specified timeframe. Escalation to Sev-3, which requires next business day response time for resolution.""
}
```"
doc_retrieval_summarization,drs13,phi4-mini:3.8b,0.0,0.0,0.0,0.20618556701030927,0.20618556701030927,121,12275241300,96,3907910800,16639555600,18666,4,"```json
{
  ""ranking"": [""doc_id1"", ""doc_id3""],
  ""summary"": ""To request a new SaaS vendor security review, you should submit the Security Review form along with your DPIA (Data Protection Impact Assessment) and data flow diagram. While SOC 2 evidence is important for demonstrating compliance to certain standards of information systems controls over processing activities related to privacy or protection from unauthorized access/disclosure/alteration/deletion/delivery denial/reuse/transfers, it may not be directly relevant unless the new SaaS vendor needs to meet these specific requirements.""
}
```"
doc_retrieval_summarization,drs14,phi4-mini:3.8b,0.0,0.0,0.0,0.10256410256410256,0.12820512820512822,82,7770750500,97,3730095400,11846002400,13907,2,"```json
{
  ""ranking"": [],
  ""summary"": ""The provided documents do not contain relevant information regarding rate limiting policies for public APIs. The first document mentions a limit of 1000 requests per minute with an IP, and allows bursts up to twice the normal amount; however, it lacks context about whether this is part of a larger API or service's policy on request limits.""
}
```"
doc_retrieval_summarization,drs15,phi4-mini:3.8b,0.0,0.0,0.0,0.08571428571428572,0.1142857142857143,73,6513111600,106,4103302800,10967898100,13013,0,"```json
{
  ""ranking"": [],
  ""summary"": ""The provided documents do not contain relevant information on the steps to add a new environment variable to production. The topics covered are unrelated: adding variables and secrets management in Vault, scaling workers (likely referring to application or infrastructure), Figma tokens for design collaboration tools, secret rotation basics.""
}
```"
