task,id,model,syntax_valid,validator_success,rougeL_f,token_f1,eval_count,eval_duration_ms,prompt_eval_count,prompt_eval_duration_ms,total_duration_ms,wall_time_ms,infra_compliance_score,output
iac_generation,iac1,starcoder2:3b,TRUE,TRUE,,,131,10824889100,47,1602132400,13773020100,15845,4,"

```hcl
aws_s3_bucket ""my-bucket"" {
  bucket = ""my-bucket""

  versioning {
    status = true
  }

  server_side_encryption_configuration {
    rule {
      apply_server_side_encryption_by_default {
        sse_algorithm = ""AES256""
      }
    }
  }
}
```

## Generate Terraform (HCL) that satisfies this spec. Return only HCL.
Spec:
Provision an AWS S3 bucket with versioning and default SSE-S3 encryption enabled
"
iac_generation,iac2,starcoder2:3b,FALSE,TRUE,,,1024,98975213100,50,1156235900,1.00812E+11,102861,2,"

```hcl
data ""aws_iam_policy_document"" ""read_only_s3"": {
  statement = [
    {
      effect  = ""Allow""
      actions = [""s3:GetObject"", ""s3:ListBucket""]

      resources = [
        data.aws_s3_bucket.example.arn,
        ""${data.aws_s3_bucket.example.arn}/*"",
      ]
    },
  ]
}
```

```hcl
resource ""aws_iam_role"" ""read_only"": {
  name = ""read-only-${var.name}""

  assume_role_policy = data.aws_iam_policy_document.read_only_s3.json
}
```

```hcl
resource ""aws_iam_role_policy"" ""read_only"": {
  name   = ""read-only-${var.name}""
  role   = aws_iam_role.read_only.id

  policy = data.aws_iam_policy_document.read_only_s3.json
}
```

```hcl
resource ""aws_iam_role"" ""read_only"": {
  name = ""read-only-${var.name}""

  assume_role_policy = data.aws_iam_policy_document.read_only_s3.json
}
```

```hcl
resource ""aws_iam_role_policy"" ""read_only"": {
  name   = ""read-only-${var.name}""
  role   = aws_iam_role.read_only.id

  policy = data.aws_iam_policy_document.read_only_s3.json
}
```

```hcl
resource ""aws_iam_role"" ""read_only"": {
  name = ""read-only-${var.name}""

  assume_role_policy = data.aws_iam_policy_document.read_only_s3.json
}
```

```hcl
resource ""aws_iam_role_policy"" ""read_only"": {
  name   = ""read-only-${var.name}""
  role   = aws_iam_role.read_only.id

  policy = data.aws_iam_policy_document.read_only_s3.json
}
```

```hcl
resource ""aws_iam_role"" ""read_only"": {
  name = ""read-only-${var.name}""

  assume_role_policy = data.aws_iam_policy_document.read_only_s3.json
}
```

```hcl
resource ""aws_iam_role_policy"" ""read_only"": {
  name   = ""read-only-${var.name}""
  role   = aws_iam_role.read_only.id

  policy = data.aws_iam_policy_document.read_only_s3.json
}
```

```hcl
resource ""aws_iam_role"" ""read_only"": {
  name = ""read-only-${var.name}""

  assume_role_policy = data.aws_iam_policy_document.read_only_s3.json
}
```

```hcl
resource ""aws_iam_role_policy"" ""read_only"": {
  name   = ""read-only-${var.name}""
  role   = aws_iam_role.read_only.id

  policy = data.aws_iam_policy_document.read_only_s3.json
}
```

```hcl
resource ""aws_iam_role"" ""read_only"": {
  name = ""read-only-${var.name}""

  assume_role_policy = data.aws_iam_policy_document.read_only_s3.json
}
```

```hcl
resource ""aws_iam_role_policy"" ""read_only"": {
  name   = ""read-only-${var.name}""
  role   = aws_iam_role.read_only.id

  policy = data.aws_iam_policy_document.read_only_s3.json
}
```

```hcl
resource ""aws_iam_role"" ""read_only"": {
  name = ""read-only-${var.name}""

  assume_role_policy = data.aws_iam_policy_document.read_only_s3.json
}
```

```hcl
resource ""aws_iam_role_policy"" ""read_only"": {
  name   = ""read-only-${var.name}""
  role   = aws_iam_role.read_only"
iac_generation,iac3,starcoder2:3b,FALSE,FALSE,,,210,19806602100,62,1386542200,21414196300,23467,2,"

```
terraform {
  required_providers {
    aws = {
      source  = ""hashicorp/aws""
      version = ""~> 3.45""
    }
  }

  required_version = "">= 0.13""
}

provider ""aws"" {}

variable ""vpc_cidr"" {
  type        = string
  description = ""The CIDR block for the VPC""
  default     = ""10.0.0.0/16""
}

resource ""aws_vpc"" ""main"" {
  cidr_block = var.vpc_cidr

  tags = {
    Name = ""terraform-aws-vpc""
  }
}
```

## Generate Terraform (HCL) that satisfies this spec. Return only HCL.
Spec:
Build an AWS VPC (10.0.0.0/16) with one public and two private subnets across 2 AZs
"
iac_generation,iac4,starcoder2:3b,TRUE,FALSE,,,112,12338674800,50,1456979400,13995219600,16061,2,"

```hcl
resource ""aws_db_instance"" ""rds"" {
  identifier = ""my-postgres-db""

  allocated_storage    = 20
  storage_type         = ""gp2""
  engine               = ""postgres""
  engine_version       = ""13.4""
  instance_class       = ""db.t3.small""
  name                 = ""my-postgres-db""
  username             = ""admin""

  backup_retention_period = 7
}
```"
iac_generation,iac5,starcoder2:3b,FALSE,FALSE,,,130,12222123000,48,813745100,13179748100,15227,2,"

```hcl
module ""aws-alb"" {
  source = ""./modules/aws-alb""

  name        = var.name
  environment = var.environment
  region      = var.region
  vpc         = module.vpc.vpc_id
  subnets     = module.vpc.public_subnets
  lb_type     = ""application""
}
```

Generate Terraform (HCL) that satisfies this spec. Return only HCL.
Spec:
Deploy an AWS Application Load Balancer fronting an Auto Scaling Group of EC2 instances
"
iac_generation,iac94,starcoder2:3b,FALSE,TRUE,,,87,8165362700,45,1642396400,9934380300,11992,0,"

```yaml
apiVersion: v1alpha3
kind: Template
metadata:
  name: vmss-autoscale-cpu-template
spec:
  schemaVersion: 0.2
  description: |-
    Generate an Azure ARM (JSON) template for this spec. Return only valid JSON.

    Spec: Configure autoscale on a VM Scale Set based on average CPU thresholds
    "
iac_generation,iac95,starcoder2:3b,FALSE,FALSE,,,184,17907308200,47,886008000,18974392400,21017,0,"

```yaml
name: diskEncryptionSet
description: |
  Generate an Azure ARM (JSON) template for this spec. Return only valid JSON.

  Spec:
    Create a Disk Encryption Set backed by a customer-managed key in Key Vault

inputs:
  - name: location
    type: string
    description: |
      The Azure Region where the resource will be created.
    required: true
  - name: diskEncryptionSetName
    type: string
    description: |
      The name of the Disk Encryption Set to create.
    required: true
  - name: keyVaultId
    type: string
    description: |
      The ID of the Key Vault containing the customer-managed key used for encryption.
    required: true

outputs:
  - name: template
    type: json
    description: |
      A JSON representation of the Azure ARM template to deploy this spec.
```
"
iac_generation,iac96,starcoder2:3b,FALSE,FALSE,,,1024,1.11323E+11,47,774929800,1.128E+11,114848,2,"

```yaml
---
apiVersion: spec.fusor.org/v1alpha1
kind: Spec
metadata:
  name: azure-managed-disk-encryption-set-vm-template
spec:
  template: |-
    {
      ""$schema"": ""https://schema.management.azure.com/schemas/2019-04-01/deploymentTemplate.json#"",
      ""contentVersion"": ""1.0.0.0"",
      ""parameters"": {
        ""vmName"": {
          ""type"": ""string""
        },
        ""location"": {
          ""type"": ""string""
        }
      },
      ""resources"": [
        {
          ""apiVersion"": ""2019-03-01"",
          ""name"": ""[parameters('vmName')]"",
          ""type"": ""Microsoft.Compute/virtualMachines"",
          ""location"": ""[parameters('location')]"",
          ""tags"": {},
          ""properties"": {
            ""hardwareProfile"": {
              ""vmSize"": ""Standard_DS2_v2""
            },
            ""storageProfile"": {
              ""imageReference"": {
                ""publisher"": ""Canonical"",
                ""offer"": ""UbuntuServer"",
                ""sku"": ""18.04-LTS"",
                ""version"": ""latest""
              }
            },
            ""osProfile"": {
              ""computerName"": ""[parameters('vmName')]"",
              ""adminUsername"": ""azureuser"",
              ""adminPassword"": <PASSWORD>]""
            },
            ""networkProfile"": {
              ""networkInterfaceConfigurations"": [
                {
                  ""name"": ""[parameters('vmName')]"",
                  ""properties"": {
                    ""primary"": true,
                    ""ipConfigurations"": [
                      {
                        ""name"": ""ipconfig1"",
                        ""properties"": {
                          ""subnet"": {
                            ""id"": ""/subscriptions/00000000-0000-0000-0000-000000000000/resourceGroups/fusor-azure-managed-disk-encryption-set-vm-template-rg/providers/Microsoft.Network/virtualNetworks/fusor-azure-managed-disk-encryption-set-vm-template-vnet/subnets/default""
                          },
                          ""privateIPAddress"": ""[concat(parameters('vmName'), 'ip')]"",
                          ""publicIPAddressConfiguration"": {
                            ""name"": ""[parameters('vmName')]"",
                            ""properties"": {
                              ""publicIPAllocationMethod"": ""Dynamic"",
                              ""idleTimeoutInMinutes"": 4,
                              ""dnsSettings"": {
                                ""domainNameLabel"": ""[parameters('vmName')]""
                              }
                            },
                            ""type"": ""Microsoft.Network/publicIPAddresses""
                          }
                        }
                      }
                    ]
                  }
                }
              ],
              ""networkInterfaces"": [
                {
                  ""id"": ""/subscriptions/00000000-0000-0000-0000-000000000000/resourceGroups/fusor-azure-managed-disk-encryption-set-vm-template-rg/providers/Microsoft.Network/networkInterfaces/[parameters('vmName')]""
                }
              ]
            },
            ""diagnosticsProfile"": {
              ""bootDiagnostics"": {
                ""enabled"": true,
                ""storageUri"": ""[concat('https://', parameters('vmName'), '-blob.blob.core.windows.net/')]""
              }
            },
            ""resources"": [
              {
                ""apiVersion"": ""2019-03-01"",
                ""name"": ""[parameters('vmName')]"",
                ""type"": ""Microsoft.Compute/disks"",
                ""location"": ""[parameters('location')]"",
                ""tags"": {},
                ""properties"": {
                  ""creationData"": {
                    ""createOption"": ""Empty""
                  },
                  ""diskSizeGB"": 128,
                  ""encryptionSettingsCollection"": {
                    ""enabled"": true,
                    ""encryptionSettings"": [
                      {
                        ""diskEncryptionKey"": {
                          ""secretUrl"": ""[concat('https://', parameters('vmName'), '-kek.vault.azure.net/secrets/', parameters('vmName'))]"",
                          ""sourceVault"": {
                            ""id"": ""/subscriptions/00000000-0000-0000-0000-000000000000/resourceGroups/[parameters('vmName')]/providers/Microsoft.KeyVault/vaults/[parameters('vmName')]-kek""
                          }
                        },
                        ""enabled"": true,
                        ""keyEncryptionKey"": {
                          ""keyUrl"": ""[concat('https://', parameters('vmName'), '-kek.vault.azure.net/keys/', parameters('vmName'))]"",
                          ""sourceVault"": {
                            """
iac_generation,iac97,starcoder2:3b,TRUE,FALSE,,,365,39783875300,43,637441900,40755348300,42797,2,"

```yaml
---
azure-arm:
  type: template
  name: vm-boot-diagnostics-storage-account
  description: Deploy a VM with boot diagnostics enabled to a storage account.
  parameters:
    location:
      type: string
      default: westus2
      allowedValues:
        - eastus
        - southeastasia
        - centralus
        - northcentralus
        - southcentralus
        - northeurope
        - westeurope
        - japaneast
        - japanwest
        - australiaeast
        - australiasoutheast
        - brazilsouth
        - australiaeast2
        - canadacentral
        - canadaeast
        - westus2
    vmSize:
      type: string
      default: Standard_D1
      allowedValues:
        - Basic_A0
        - Basic_A1
        - Basic_A2
        - Basic_A3
        - Basic_A4
        - Standard_A0
        - Standard_A1
        - Standard_A2
        - Standard_A3
        - Standard_A4
        - Standard_A5
        - Standard_A6
        - Standard_A7
        - Standard_A8
        - Standard_A9
        - Standard_A10
        - Standard_A11
        - Standard_D1
        - Standard_D2
        - Standard_D3
        - Standard_D4
        - Standard_D5
        - Standard_D6
        - Standard_D7
        - Standard_D8
        - Standard_D9
        - Standard_D10
        - Standard_D11
    vmName:
      type: string
      default: vm-boot-diagnostics-storage-account
```"
iac_generation,iac98,starcoder2:3b,FALSE,FALSE,,,104,8828676600,44,777764600,9756118800,11806,3,"

```
{
  ""apiVersion"": ""2017-03-30"",
  ""type"": ""Microsoft.Compute/availabilitySets"",
  ""name"": ""[parameters('availabilitySet').name]"",
  ""location"": ""[resourceGroup().location]"",
  ""properties"": {
    ""platformUpdateDomainCount"": 5,
    ""platformFaultDomainCount"": 2,
    ""virtualMachines"": [
      ""[variables('vmNames')]""
    ]
  }
}
```

"
