task,id,model,exact_match,token_f1,groundedness,eval_count,eval_duration_ms,prompt_eval_count,prompt_eval_duration_ms,total_duration_ms,wall_time_ms,groundedness_score,output
kb_qa,kb1,phi4-mini:3.8b,0.0,0.07594936708860758,1.0,95,9133699800,100,6321131500,17969961000,20024,5,"To submit an IT ticket for the SECOPS project, open ServiceNow portal (1), click 'Create/Submit a ticket' (2), select 'SECOPS' as your assignment group/project (3), provide summary and detailed description of the issue or request you are submitting about (4 & 5). If applicable to illustrate the problem better, attach screenshots. Finally, submit it by clicking on any available button that says ""submit"" at this stage ((6))."
kb_qa,kb2,phi4-mini:3.8b,0.0,0.20689655172413793,1.0,60,5232900100,83,2784374200,8315172200,10382,5,"To restart a safe VDI session, save any ongoing tasks ((1)), log out of the operating system within your virtual desktop ((2)), close down Citrix or VMware Horizon client software (((3))), wait for two minutes to ensure all processes are terminated properly ((4)), and then reconnect."
kb_qa,kb3,phi4-mini:3.8b,0.0,0.21428571428571427,0.0,67,6397808200,84,2861867700,9576188500,11614,5,"To book Meeting Room Conf-Azure-12F, open your Outlook calendar (line 1), create the meeting you want to schedule there (line 2), add ""Conf-Azure-12F"" from Rooms list as a location for this event (line 3), and then send out invites once it's set up."
kb_qa,kb4,phi4-mini:3.8b,0.0,0.13043478260869562,0.0,53,5377998000,81,3023357700,8750976700,10810,5,"To appoint someone as an owner, open your Team on Microsoft Teams (line 1), navigate through 'More options' to 'Manage team', then go to the 'Members' tab and update their role to 'Owner'. (lines 2-3)"
kb_qa,kb5,phi4-mini:3.8b,0.0,0.28571428571428575,0.0,48,5141277800,77,2988588100,8517986900,10564,5,"To request a license, open Service Catalog (line 1), search for ""app license"" (line 2), enter your cost center with its justification (lines 3-4), then submit the form (line 5)."
kb_qa,kb6,phi4-mini:3.8b,0.0,0.13333333333333336,1.0,92,8943307900,87,3012487900,12386757100,14428,5,"To check out the `hotfix/login-issue` branch from Bitbucket, use these commands: (1) clone your repository with `git clone https://bitbucket.corp.example/org/repo.git`, then change directory to it using `cd repo`. Afterward, fetch all branches and tags in one go by running `git fetch --all`. Finally, switch to the desired branch via `git checkout hotfix/login-issue` (2)."
kb_qa,kb7,phi4-mini:3.8b,0.0,0.17543859649122806,1.0,67,7607767400,123,4817513000,12789425300,14832,5,"Open File Explorer, right-click This PC > Map network drive (1), select Drive: P:, Folder: \\fileserver\Finance (4 & 5). Prerequisites include connecting via VPN for offsite access if necessary and ensuring you have permissions. Click Finish to complete the mapping process ((2) through ((6))."
kb_qa,kb8,phi4-mini:3.8b,0.0,0.17391304347826086,0.0,71,6402965400,90,3091501200,9876558400,11936,5,"To set an out-of-office reply, go to (File → Automatic Replies), turn it on ((Turn on Automatic Replies)), enter your message for both internal and external contacts ((Enter internal and external messages)), choose the start and end time for when you want this auto-reply active ((Set start and end time)), then save these settings ((Save))."
kb_qa,kb9,phi4-mini:3.8b,0.0,0.23529411764705882,1.0,75,6860633500,86,2880922100,10088739500,12127,5,"To create a Jira issue, open Jira (line 1), click 'Create' (line 2), select project 'ITSD' (line 3), choose an issue type (line 4), fill out the Summary and Description fields (lines 5 & 6). Then press Create. ((1)(2)(3)(4)(5)(6))"
kb_qa,kb10,phi4-mini:3.8b,0.0,0.15384615384615385,1.0,57,4985280900,92,3534866700,8871213800,10934,5,"Clear your browser's cookies related to the SSO (1), try accessing it via a new incognito/private browsing session ((2)), check that both computer’s clock settings match with actual time ((3)), or re-enroll Multi-Factor Authentication if you've changed devices ((4))."
kb_qa,kb11,phi4-mini:3.8b,0.0,0.28571428571428575,0.0,48,4262615200,77,2638259800,7234084100,9286,5,"To request a license, open Service Catalog (line 1), search for ""app license"" (line 2), enter your cost center with its justification (lines 3-4), then submit the form (line 5)."
