task,id,model,accuracy,macro_f1,per_class,confusion_matrix,eval_count,eval_duration_ms,prompt_eval_count,prompt_eval_duration_ms,total_duration_ms,wall_time_ms,output
ticket_classification,tc1,phi4-mini:3.8b,1.0,1.0,"{'incident': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0}}",{'incident': {'incident': 1}},2,123222700,69,3503936700,3868121400,5930,Incident
ticket_classification,tc2,phi4-mini:3.8b,1.0,1.0,"{'incident': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0}}",{'incident': {'incident': 1}},2,121296700,64,1745785700,2157881100,4215,Incident
ticket_classification,tc3,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'service_request': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'service_request': {'change': 1, 'service_request': 0}, 'change': {'change': 0, 'service_request': 0}}",2,98219900,62,1584201500,1991603200,4064,Change
ticket_classification,tc4,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'service_request': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'service_request': {'change': 1, 'service_request': 0}, 'change': {'change': 0, 'service_request': 0}}",2,96365900,61,1353067900,1713666900,3765,Change
ticket_classification,tc5,phi4-mini:3.8b,1.0,1.0,"{'change': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0}}",{'change': {'change': 1}},2,116893800,65,1711180100,2056665300,4102,Change
ticket_classification,tc6,phi4-mini:3.8b,1.0,1.0,"{'change': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0}}",{'change': {'change': 1}},2,134634000,69,2101349000,2478305600,4521,Change
ticket_classification,tc7,phi4-mini:3.8b,1.0,1.0,"{'problem': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0}}",{'problem': {'problem': 1}},2,107568500,64,1737331000,2091472100,4135,Problem
ticket_classification,tc8,phi4-mini:3.8b,0.0,0.0,"{'maintenance': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'problem': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'problem': {'maintenance': 1, 'problem': 0}, 'maintenance': {'maintenance': 0, 'problem': 0}}",2,133339400,60,1892995400,2376823200,4425,Maintenance
ticket_classification,tc9,phi4-mini:3.8b,1.0,1.0,"{'maintenance': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0}}",{'maintenance': {'maintenance': 1}},2,99308600,61,1625249600,1956486000,4000,Maintenance
ticket_classification,tc10,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'maintenance': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'maintenance': {'change': 1, 'maintenance': 0}, 'change': {'change': 0, 'maintenance': 0}}",2,109474200,58,1591550000,1947707800,3985,Change
